Modelo;Comparacao1;Comparacao2;Comparacao3;Comparacao4;Comparacao5;Comparacao6;Comparacao7;Comparacao8;Comparacao9;Comparacao10;Comparacao11;Comparacao12;Comparacao13;Comparacao14;Comparacao15;Comparacao16;Comparacao17;Comparacao18;Comparacao19;Comparacao20;Comparacao21;Comparacao22;Comparacao23;Comparacao24;Comparacao25;Comparacao26;Comparacao27;Comparacao28;Comparacao29;Comparacao30;Comparacao31;Comparacao32;Comparacao33;Comparacao34;Comparacao35;Comparacao36;Comparacao37;Comparacao38;Comparacao39;Comparacao40;Comparacao41;Comparacao42;Comparacao43;Comparacao44;Comparacao45;Comparacao46;Comparacao47;Comparacao48;Comparacao49;Comparacao50;Comparacao51;Comparacao52;Comparacao53;Comparacao54;Comparacao55;Comparacao56;Comparacao57;Comparacao58;Comparacao59;Comparacao60;Comparacao61;Comparacao62;Comparacao63;Comparacao64;Comparacao65;Comparacao66;Comparacao67;Comparacao68;Comparacao69;Comparacao70;Comparacao71;Comparacao72
lupa;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
mula;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
loja;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
faca;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
lima;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
tapete;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
caju;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
dedo;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
boneca;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
gaveta;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
sacola;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
salada;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
sapato;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
rato;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
panela;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
galo;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
navio;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
suco;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
tulipa;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
gato;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
rua;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
aluno;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
moeda;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
vela;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
sino;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
goiaba;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
violino;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
fuba;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
bule;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
rede;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
tomada;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
peteca;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
fivela;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
cadeado;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
rio;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
cafe;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
bigode;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
toco;bolo;tatu;vaca;bico;mala;tubo;pipa;cavalo;apito;luva;tomate;vovo;muleta;fita;pato;luta;mato;lata;cola;caneta;camelo;lobo;boca;mapa;uva;janela;fogo;lua;sapo;menina;roupa;fila;cabide;palito;lupa;mula;loja;faca;lima;tapete;caju;dedo;boneca;gaveta;sacola;salada;sapato;rato;panela;galo;navio;suco;tulipa;gato;rua;aluno;moeda;vela;sino;goiaba;violino;fuba;bule;rede;tomada;peteca;fivela;cadeado;rio;cafe;bigode;toco
