Modelo;08-05-2017_NJ;09-05-2017_J;11-05-2017_J;15-05-2017_NJ;19-05-2017_NJ;23-05-2017_J;25-05-2017_;26-05-2017_
Polícia;-;policia;poliçiao;poliçiao;-;policia;policia;polisia
Palha;-;palha;palha;palha;-;palha;palha;palha
Celeste;-;çeleste;çeleste;celeste;-;celeste;celeste;celeste
Bicicleta;-;diçicleta;biçicleta;biçicleta;-;bicicleta;bicicleta;bicicleta
Calçada;-;cauçada;cauçada;causada;-;caucada;caucada;causada
Cigarra;-;çigarra;sigarra;sigarra;-;sigarra;cigarra;cigarra
Geleia;-;jeleia;gelenha;geleia;-;jeleia;geleia;geleia
Foguete;-;fogete;fogete;fogete;-;fogete;foguete;foguete
Galinha;-;galinha;galinha;galinha;-;galinha;galinha;galinha
Jiboia;-;jiboia;jibonha;giboia;-;jiboia;jiboia;jiboia
Cereja;-;çeraja;sereja;sereja;-;seja;sereja;sereja
Porta;-;porta;porta;porta;-;porta;porta;porta
Quibe;-;kid;quibe;quibe;-;quibe;quibe;quibe
Mupoca;-;mupoca;mupoca;mupoca;-;mupoca;mupoca;mupoca
Tabilu;-;tabilu;tabili;tabilu;-;tabilu;tabilu;tabilu
Bejovi;-;dejuvi;bejuvi;bejuvi;-;bejuvi;bejuvi;bejuvi
Tilbo;-;tiudo;tiubo;tiubo;-;tiubo;tiubo;tiubo
Tonhulame;-;tonhunla-me;tonhula-me;tonhula-me;-;tonhula-me;tonhula-me;tonhulma-me
Garulhi;-;garulhi;garulhi;garulhe;-;garulhi;garulhe;garulhi
Orturre;-;orturre;orturre;orturre;-;orturre;orturre;orturre